borough,Tax block,Tax lot,community board,census tract 2010,cb2010,schooldist,council district,postcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,state,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,BBL,condono,tract2010,x,y,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,bct2020,bctcb2020,city
MN,1262,34,105.0,96.0,1003.0,2.0,4.0,10036.0,L004,18.0,4800.0,1.0,2B,562 5 AVENUE,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,562 LNBL LLC,3575,42349,,,,,,,,,2,0,,0,0,27.08,100.0,0,0,,0,True,3,5,3899700,3899700,0,920,987,0,,,11.85,10.0,15.0,15.0,1,1012620034,,96.0,989991.0,214815.0,40.7562922,-73.9792779,8d,,104 045,10501.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009600.0,10096002002.0,New York
MN,1311,13,105.0,112.03,2002.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,126 EAST 57 STREET,NY,C5-2.5,C5-2,,,,,MiD,,,,True,V1,11,0,,MRR 1326 LLC,13213,0,,,,,,,,,7,1,,0,0,115.0,100.42,0,0,,0,False,5,5,7230150,7230150,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1013110013,,11203.0,992623.0,216387.0,40.7606048,-73.9697757,8c,,106E044,10505.0,,1013110013.0,10/17/2022,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011203.0,10112032002.0,New York
MN,1288,69,105.0,102.0,1007.0,2.0,4.0,10022.0,E023,18.0,4800.0,1.0,2B,665 5 AVENUE,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,ROLEX REALTY COMPANY LLC,11050,0,,,,,,,,,7,0,,0,0,85.42,125.0,0,0,,0,True,3,5,8934750,8934750,0,0,1975,2021,,,0.0,10.0,15.0,15.0,1,1012880069,,102.0,991009.0,216200.0,40.7600929,-73.975602,8c,True,106E037,10503.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010200.0,10102002003.0,New York
MN,1309,69,105.0,100.0,1001.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,407 PARK AVENUE,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,CLOVER PARK DEVELOPMENT LLC,10975,0,,,,,,,,,7,0,,0,0,75.42,108.75,0,0,,0,True,3,5,4949100,4949100,0,0,2021,0,,,0.0,10.0,15.0,15.0,1,1013090069,,100.0,992160.0,216152.0,40.7599602,-73.9714473,8d,True,106E043,10505.0,,1013090069.0,08/31/2022,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010000.0,10100001001.0,New York
MN,1402,41,108.0,120.0,1000.0,2.0,4.0,10065.0,E039,19.0,4100.0,1.0,1A,168 EAST 68 STREET,NY,R8B,,,,,,,,,,False,V5,11,0,X,PARK EAST SYNAGOGUE,2009,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,427950,427950,427950,2013,0,0,,,0.0,4.0,0.0,4.0,1,1014020041,,120.0,994466.0,218792.0,40.767204,-73.9631193,8c,,106E048,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1012000.0,10120001000.0,New York
MN,1395,21,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,145 EAST 60 STREET,NY,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,4017,0,,,,,,,,,7,0,,0,0,40.0,100.42,0,0,,0,False,5,5,1596150,1596150,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950021,,11402.0,993318.0,217226.0,40.7629069,-73.9672658,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0,New York
MN,1395,26,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,155 EAST 60 STREET,NY,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,8033,0,,,,,,,,,7,0,,0,0,80.0,100.42,0,0,,0,False,5,5,3578850,3578850,0,0,2014,0,,,0.0,10.0,10.0,10.0,1,1013950026,,11402.0,993424.0,217168.0,40.7627476,-73.9668832,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0,New York
MN,1395,24,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,151 EAST 60 STREET,NY,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,810450,810450,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950024,,11402.0,993362.0,217202.0,40.762841,-73.967107,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0,New York
MN,1395,23,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,149 EAST 60 STREET,NY,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,1008000,1008000,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950023,,11402.0,993344.0,217211.0,40.7628657,-73.967172,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0,New York
MN,1395,25,108.0,114.02,1002.0,2.0,4.0,10022.0,E039,19.0,4800.0,1.0,1A,153 EAST 60 STREET,NY,C5-2,,,,,,,,,,False,V1,11,0,,PARKVIEW TOWER OWNER LLC,2008,0,,,,,,,,,7,0,,0,0,20.0,100.42,0,0,,0,False,5,5,1080000,1080000,0,0,0,0,,,0.0,10.0,10.0,10.0,1,1013950025,,11402.0,993380.0,217192.0,40.7628136,-73.967042,8c,,106E045,10509.0,,,,1,24v3,8.0,13.0,,,,,,,,,,,,,,1011402.0,10114021002.0,New York
MN,1313,63,105.0,112.03,2000.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,120 EAST 59 STREET,NY,C5-2.5,,,,,,MiD,,,,False,V1,11,0,,118 EAST 59TH STREET REALTY LLC,5021,0,,,,,,,,,7,0,,0,0,50.0,100.42,0,0,,0,False,5,5,2952900,2952900,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1013130063,,11203.0,992827.0,217019.0,40.7623393,-73.9690385,8c,,106E045,10505.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011203.0,10112032000.0,New York
MN,2034,17,110.0,234.0,1002.0,5.0,9.0,10039.0,E069,32.0,800.0,1.0,4A,223 WEST 148 STREET,NY,R7-2,,,,,,,,,,False,V1,11,0,X,HARLEM CONGREGATION FOR COMMUNITY IMPROV EMENT INC,2498,0,,,,,,,,,7,0,,0,0,25.0,99.92,0,0,,0,False,5,5,193950,193950,193950,0,0,0,,,0.0,3.44,0.0,6.5,1,1020340017,,234.0,1001155.0,239608.0,40.824328,-73.938919,6a,,111N059,10709.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023400.0,10234001002.0,New York
MN,2050,4,109.0,227.0,2001.0,6.0,9.0,10031.0,L023,30.0,720.0,1.0,3B,287 CONVENT AVENUE,NY,R6A,,,,,,,,,,False,V1,11,0,X,UNITED STATES OF AMERICA,4675,0,,,,,,,,,7,1,,0,0,46.75,100.0,0,0,,0,False,5,5,401400,401400,401400,0,0,0,,,0.0,3.0,0.0,3.0,1,1020500004,,227.0,998757.0,238871.0,40.8223094,-73.947585,6a,,111S039,10709.0,,,,1,24v3,9.0,17.0,,,,,,,,,,,,,,1022700.0,10227002001.0,New York
MN,1273,10,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,41 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,3414,0,,,,,,,,,7,0,,0,0,34.0,100.42,0,0,,0,False,5,5,2200950,2200950,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730010,,11201.0,990872.0,217683.0,40.7641635,-73.9760951,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1273,65,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,50 WEST 58 STREET,NY,C5-2.5,,,,,,MiD,,,,False,V1,11,0,,BOB 57 DEVELOPMENT LLC,7532,0,,,,,,,,,7,1,,0,0,75.0,100.42,0,0,,0,False,5,5,3857400,3857400,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1012730065,,11201.0,990913.0,217780.0,40.7644297,-73.975947,8c,,106W034,10502.0,E-643,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,812,45,105.0,109.0,1009.0,2.0,4.0,10018.0,E026,14.0,5200.0,1.0,1H,989 AVENUE OF THE AMERICAS,NY,C6-6,,,,,,MiD,,,,False,V1,11,0,,RPY 989 LLC,8041,0,,,,,,,,,7,1,,0,0,98.75,100.0,0,0,,0,True,3,5,3546000,3546000,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1008120045,,109.0,987897.0,213111.0,40.7516162,-73.9868371,8d,,105N035,10305.0,,1008120042.0,04/17/2024,1,24v3,5.0,15.0,,,,,,,,,,,,,,1010900.0,10109001009.0,New York
MN,1310,14,105.0,100.0,1000.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,656 LEXINGTON AVENUE,NY,C5-2.5,,,,,,MiD,,,,False,V1,11,0,,660 LEXINGTON AVENUE DEVELOPMENT LLC,4410,0,,,,,,,,,7,0,,0,0,60.42,73.0,0,0,,0,False,3,5,2380500,2380500,0,0,2023,0,,,0.0,10.0,12.0,12.0,1,1013100014,,100.0,992503.0,216117.0,40.7598638,-73.9702092,8d,,106E044,10505.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010000.0,10100001000.0,New York
MN,1309,1,105.0,100.0,1001.0,2.0,4.0,10022.0,E008,18.0,4800.0,1.0,2B,405 PARK AVENUE,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,"RAR2 - 405 PARK, LLC",9037,0,,,,,,,,,7,0,,0,0,100.42,90.0,0,0,,0,False,3,5,6626250,6626250,0,0,2021,0,,,0.0,10.0,15.0,15.0,1,1013090001,,100.0,992101.0,216066.0,40.7597242,-73.9716604,8d,,106E043,10505.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010000.0,10100001001.0,New York
MN,1273,17,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,27 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,29 WEST 57TH STREET OWNER LLC,4820,0,,,,,,,,,7,1,,0,0,48.0,100.42,0,0,,0,False,5,5,3092400,3092400,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012730017,,11201.0,991028.0,217598.0,40.76393,-73.975532,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1273,16,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,31 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,31 WEST 57TH STREET OWNER LLC,2711,0,,,,,,,,,7,1,,0,0,27.0,100.42,0,0,,0,False,5,5,1747800,1747800,0,1920,1989,0,,,0.0,10.0,15.0,15.0,1,1012730016,,11201.0,990996.0,217616.0,40.7639795,-73.9756475,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1272,50,105.0,112.01,1003.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,16 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,16 WEST 57TH STREET COMPANY LLC,5020,0,,,,,,,,,7,1,,0,0,50.0,100.42,0,0,,0,False,5,5,3241350,3241350,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012720050,,11201.0,991085.0,217344.0,40.7632328,-73.9753265,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011003.0,New York
MN,1273,15,105.0,112.01,1002.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,33 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,VNO 33 WEST 57TH STREET LLC,2513,0,,,,,,,,,7,1,,0,0,25.0,100.42,0,0,,0,False,5,5,1620000,1620000,0,1939,1989,0,,,0.0,10.0,15.0,15.0,1,1012730015,,11201.0,990972.0,217629.0,40.7640152,-73.9757341,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011002.0,New York
MN,1272,52,105.0,112.01,1003.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,20 WEST 57 STREET,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,20 WEST 57TH STREET REALTY LLC,5020,0,,,,,,,,,7,0,,0,0,50.0,100.42,0,0,,0,False,5,5,3221100,3221100,0,0,0,0,,,0.0,10.0,15.0,15.0,1,1012720052,,11201.0,991042.0,217368.0,40.7632987,-73.9754817,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011003.0,New York
MN,1270,44,105.0,104.0,1001.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,10 WEST 55TH STREET,NY,C5-P,,,,,,MiD,,,,False,V1,11,0,,10 W 55 LLC,10344,0,,,,,,,,,7,0,,0,0,23.0,100.42,0,0,,0,False,5,5,3701250,3701250,0,0,2022,0,,,0.0,8.0,8.0,8.0,1,1012700044,,104.0,990918.0,216842.0,40.7618551,-73.9759298,8c,,106W033,10501.0,,1012700044.0,10/18/2023,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010400.0,10104001001.0,New York
MN,1272,23,105.0,112.01,1003.0,2.0,4.0,10019.0,E023,18.0,4800.0,1.0,2B,21 WEST 56 STREET,NY,C5-P,,,,,,MiD,,,,False,V1,11,0,,"NINETEEN WEST REALTY COMPANY, LLC",5020,0,,,,,,,,,7,0,,0,0,50.0,100.42,0,0,,0,False,5,5,1718100,1718100,0,0,0,0,,,0.0,8.0,8.0,8.0,1,1012720023,,11201.0,991012.0,217263.0,40.7630106,-73.9755901,8c,,106W034,10502.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1011201.0,10112011003.0,New York
MN,1289,65,105.0,102.0,1003.0,2.0,4.0,10022.0,E023,18.0,4800.0,1.0,2B,8 EAST 54 STREET,NY,C5-2.5,,,,,,MiD,,,,False,V1,11,0,,TISHMAN SPEYER,1500,0,,,,,,,,,7,0,,0,0,15.0,100.0,0,0,,0,False,5,5,817200,817200,0,0,0,0,,,0.0,10.0,12.0,12.0,1,1012890065,,102.0,991224.0,216369.0,40.7605566,-73.9748257,8c,,106E037,10503.0,,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1010200.0,10102002002.0,New York
MN,1342,51,106.0,98.0,4000.0,2.0,4.0,10022.0,L002,17.0,5000.0,1.0,3A,300 EAST 50 STREET,NY,C1-9,R8B,,,,,,,,,True,V1,11,0,,300 EAST 50TH STREET OWNER LLC,11398,0,,,,,,,,,7,0,,0,0,113.5,100.42,0,0,,0,False,3,5,1952100,1952100,0,0,2022,0,,,0.0,10.0,2.0,10.0,1,1013420051,,98.0,993024.0,214181.0,40.7545495,-73.9683311,8d,,1,1.0,,1013420048.0,01/31/2023,1,24v3,6.0,13.0,,,,,,,,,,,,,,1009800.0,10098004000.0,New York
MN,2063,36,109.0,231.0,3002.0,6.0,9.0,10031.0,L034,30.0,720.0,1.0,3B,773 ST NICHOLAS AVENUE,NY,R6A,,,,,,,,,,False,V1,11,0,,VINCENT SOLLAZZO-LAMP,2060,0,,,,,,,,,7,0,,0,0,20.42,105.42,0,0,,0,True,5,5,160200,160200,0,0,0,0,Hamilton Heights / Sugar Hill Historic District,,0.0,3.0,0.0,3.0,1,1020630036,,231.0,999901.0,240442.0,40.8266194,-73.943448,6a,True,111N050,10710.0,,,,1,24v3,9.0,17.0,,,,,,,,,,,,,,1023100.0,10231002002.0,New York
MN,1284,21,105.0,94.0,1000.0,2.0,4.0,10017.0,L002,18.0,4800.0,1.0,2B,413 MADISON AVENUE,NY,C5-3,,,,,,MiD,,,,False,V1,11,0,,415 MADISON AVE LLC,11675,0,,,,,,,,,7,0,,0,0,100.0,116.67,0,0,,0,True,3,5,9971100,9971100,0,0,2016,2021,,,0.0,10.0,15.0,15.0,1,1012840021,,94.0,990883.0,214950.0,40.7566621,-73.9760581,8d,,104 047,10503.0,E-408,,,1,24v3,5.0,13.0,,,,,,,,,,,,,,1009400.0,10094002000.0,New York
MN,1960,34,110.0,221.02,2003.0,5.0,9.0,10030.0,L028,32.0,8510.0,1.0,3A,321 WEST 136 STREET,NY,R7-2,R8,,,,,,,,,True,V1,11,0,,GRATITUDE CAPITAL LLC,2548,0,,,,,,,,,7,2,,0,0,25.5,99.92,0,0,,0,False,5,5,270000,270000,0,0,2016,0,Dorrance Brooks Square Historic District,,0.0,3.44,0.0,6.5,1,1019600034,,22102.0,998959.0,237214.0,40.817761,-73.9468588,6a,,111S014,10706.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1022102.0,10221022003.0,New York
MN,2026,15,110.0,230.0,4001.0,5.0,9.0,10030.0,L028,32.0,1000.0,1.0,4A,225 WEST 140 STREET,NY,R7-2,,,,,,,,,,False,V1,11,0,X,MAXWELL DEVELOPMENT L,5562,0,,,,,,,,,7,0,,0,0,55.66,99.92,0,0,,0,False,5,5,550350,550350,550350,0,0,0,,,0.0,3.44,0.0,6.5,1,1020260015,,230.0,1000088.0,237777.0,40.8193044,-73.9427786,6a,,111S032,10708.0,,1020260015.0,01/06/2003,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023000.0,10230004001.0,New York
MN,2024,132,110.0,230.0,3001.0,5.0,9.0,10030.0,L028,32.0,1000.0,1.0,4A,7 AVENUE,NY,R7-2,,,,C1-4,,,,,,False,V1,11,0,,2370 ADAM CLAYTON POWELL JR. LLC,971,0,,,,,,,,,7,0,,0,0,12.5,77.67,0,0,,0,False,8,5,12150,12150,0,0,0,0,,,0.0,3.44,0.0,6.5,1,1020240132,,230.0,1000190.0,237191.0,40.8176958,-73.9424115,6a,,111S025,10708.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023000.0,10230003001.0,New York
MN,2026,24,110.0,230.0,4001.0,5.0,9.0,10030.0,L028,32.0,1000.0,1.0,4A,207-209 WEST 140TH STREET,NY,R7-2,,,,,,,,,,False,V1,11,0,X,"NYC PARTNERSHIP HDFC, INC.",5596,0,,,,,,,,,7,0,,0,0,36.0,99.92,0,0,,0,False,5,5,612000,612000,612000,0,0,0,,,0.0,3.44,0.0,6.5,1,1020260024,,230.0,1000284.0,237669.0,40.8190076,-73.9420707,6a,,111S032,10708.0,,1020260024.0,02/03/2020,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023000.0,10230004001.0,New York
MN,2062,2,109.0,231.0,2002.0,6.0,7.0,10031.0,L023,30.0,720.0,1.0,3B,1763 AMSTERDAM AVENUE,NY,R7A,,,,C1-4,,,,,,False,V1,11,0,,"EMPIRE DEVELOPMENT FUND, LLC",12467,0,,,,,,,,,7,1,,0,0,124.67,100.0,0,0,,0,False,5,5,1045800,1045800,0,0,0,0,,,0.0,4.0,0.0,4.0,1,1020620002,,231.0,999153.0,240462.0,40.8266755,-73.9461507,6a,True,111N050,10710.0,,,,1,24v3,9.0,17.0,,,,,,,,,,,,,,1023100.0,10231001002.0,New York
MN,2011,48,110.0,232.0,2001.0,5.0,9.0,10030.0,E059,32.0,800.0,1.0,4B,126 WEST 143 STREET,NY,R7-2,,,,,,,,,,False,V1,11,0,X,MALCOLM X II PHASE AASC,4163,0,,,,,,,,,7,0,,0,0,41.67,99.92,0,0,,0,False,5,5,306000,306000,306000,0,0,0,,,0.0,3.44,0.0,6.5,1,1020110048,,232.0,1001209.0,237866.0,40.8195466,-73.9387283,6a,,111S042,10708.0,,,,1,24v3,10.0,11.0,,,,,,,,,,,,,,1023200.0,10232002001.0,New York
